name,5k,10k,20k,half,25k,30k,35k,40k,official,pace,rank_overall,rank_in_gender_only,rank_in_division,age,gender,country,state,city,bib
"Yamamoto, Hiroyuki",8.02,17.37,37.65,39.72,47.67,59.18,71.4,80.43,85.25,3.27,8,8,8,47,M,JPN,others,Fukuoka,W1
"Jeptoo, Rita",16.22,32.58,65.83,69.47,82.43,99.33,116.37,132.1,138.95,5.3,21,1,1,33,F,KEN,others,Eldoret,F1
"Van Dyk, Ernst F.",7.75,16.62,36.1,38.03,45.8,56.45,67.42,76.1,80.6,3.08,1,1,1,41,M,RSA,others,Paarl,W2
"Dibaba, Mare",16.2,32.57,65.83,69.47,82.43,99.33,116.37,132.95,140.58,5.37,27,3,3,24,F,ETH,others,Shoa,F2
"Hokinoue, Kota",8.02,17.12,36.58,38.6,46.37,57.03,67.83,76.72,81.23,3.1,2,2,2,40,M,JPN,others,Nogata Fukuoka,W3
"Sumgong, Jemima Jelagat",16.22,32.58,65.83,69.47,82.45,99.33,116.37,132.95,140.68,5.37,28,4,4,29,F,KEN,others,Nandi,F3
"Hug, Marcel E.",8.38,17.65,37.65,39.72,47.67,58.6,70.23,79.83,84.65,3.23,4,4,4,28,M,SUI,others,Neuenkirch,W4
"Geneti, Markos",15.17,30.48,61.62,64.85,76.95,92.52,107.47,122.8,129.83,4.97,5,5,5,29,M,ETH,others,Addis Ababa,5
"Soejima, Masazumi",8.0,17.12,36.6,38.6,46.37,57.03,67.83,76.7,81.23,3.1,3,3,3,43,M,JPN,others,Isahaya,W6
"Hall, Ryan",15.15,30.48,61.78,65.23,77.68,94.78,112.27,129.83,137.83,5.27,20,20,20,31,M,USA,CA,Redding,6
"Cherop, Sharon",16.22,32.58,65.85,69.47,82.45,99.35,116.92,134.65,143.0,5.47,40,8,8,30,F,KEN,others,Marakwet,F6
"Chebet, Wilson",15.18,30.52,61.63,64.87,76.97,92.52,107.47,121.95,128.8,4.92,2,2,2,28,M,KEN,others,Marakwet,7
"Lemeunier, Denis Sr.",8.4,18.13,39.03,41.18,49.17,60.85,72.6,82.17,86.95,3.32,11,11,11,49,M,FRA,others,Taule,W7
"Kilel, Caroline",16.22,32.58,67.15,71.1,85.55,104.62,124.22,143.5,152.07,5.8,121,17,17,33,F,KEN,others,Bomet,F7
"Cassidy, Josh R.",8.02,17.12,38.02,40.2,48.88,60.82,72.83,82.38,87.4,3.35,13,13,13,29,M,CAN,ON,Port Elgin,W8
"Linden, Desiree",16.92,33.93,67.92,71.68,85.03,102.4,119.68,136.47,143.9,5.5,46,10,10,30,F,USA,MI,Rochester Hills,F8
"Madera, Jordi",8.02,17.13,36.98,39.12,47.45,58.73,70.6,79.92,84.7,3.23,5,5,5,34,M,ESP,others,Les Franquesas,W9
"Deba, Buzunesh",16.2,32.57,65.83,69.47,82.43,99.35,116.38,132.65,139.98,5.35,25,2,2,26,F,ETH,others,Arsi,F10
"Hamerlak, Tomasz",8.67,18.17,39.05,41.2,49.15,59.92,70.83,80.18,84.88,3.25,7,7,7,38,M,POL,others,Bystra,W10
"Petrova Arkhipova, Tatiana",17.32,34.8,70.1,73.95,87.83,106.03,124.53,142.68,150.48,5.75,102,13,13,31,F,RUS,others,Cheboksary,F11
"Chepkwony, Frankline",15.18,30.5,61.63,64.9,76.95,92.52,107.47,122.22,128.83,4.92,3,3,3,29,M,KEN,others,Koibatek,11
"Duliba, Aleksandra",16.47,33.23,66.57,70.25,83.4,100.58,117.65,134.2,141.48,5.4,34,6,6,26,F,BLR,others,Minsk,F12
"Kogo, Micah",15.17,30.5,61.62,64.88,76.97,92.52,109.12,128.18,137.2,5.23,17,17,17,27,M,KEN,others,Eldoret,12
"Botello Jimenez, Rafael",8.68,18.17,39.05,41.2,49.15,60.87,72.7,82.17,86.95,3.32,12,12,12,35,M,ESP,others,Manlleu,W12
"Filteau, Michel",8.67,18.3,39.63,41.8,50.33,62.33,74.95,84.48,89.4,3.42,14,14,14,47,M,CAN,QC,St-Jean Baptiste,W13
"Esayias, Yeshi",16.22,33.02,67.62,71.45,85.03,102.92,121.6,139.7,147.67,5.63,71,12,12,28,F,ETH,others,Arsi,F14
